community_id,top_10_mesh_terms
n2-0,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Mutation;Mice, Inbred C57BL;Algorithms"
n2-1481,Humans;Animals;Female;Male;Saccharomyces cerevisiae / genetics;Mice;Adult;Mutation;Saccharomyces cerevisiae Proteins / genetics;Saccharomyces cerevisiae / genetics*
n2-947,"Humans;Female;Animals;Male;Mice;Middle Aged;Aged;Adult;Cell Line, Tumor;Mutation"
n2-57,Humans;Female;Animals;Male;Adult;Middle Aged;Adolescent;Young Adult;Child;Aged
n2-4,Humans;Female;Male;Middle Aged;Adult;Aged;Risk Factors;Animals;Young Adult;Adolescent
n2-5,"Humans;Female;Male;Animals;Mice;Middle Aged;Adult;Aged;Cell Line, Tumor;Cell Line"
n2-1856,"Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Cell Line, Tumor;Aged;Rats"
n2-7,Humans;Female;Male;Adult;Middle Aged;Young Adult;Adolescent;Aged;Animals;Cross-Sectional Studies
n2-227,"Humans;Animals;Female;Amino Acid Sequence;Male;Molecular Sequence Data;Models, Molecular;Protein Binding;Mice;Protein Conformation"
n2-603,"Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Cells, Cultured;Aged;Disease Models, Animal"
n2-10,"Humans;Animals;Female;Male;Mice;Middle Aged;Adult;Disease Models, Animal;Mice, Inbred C57BL;Cell Line"
n2-11,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Cell Line, Tumor;Mutation;Mice, Inbred C57BL"
n2-79,"Humans;Animals;Female;Mice;Male;Middle Aged;Adult;Mutation;Aged;Cell Line, Tumor"
n2-836,Animals;Male;Female;Humans;Middle Aged;Dogs;Drosophila melanogaster / genetics*;Mice;Drosophila Proteins / genetics;Drosophila Proteins / metabolism
n2-1535,"Animals;Female;Male;Phylogeny;Humans;Sequence Analysis, DNA;Genetic Variation;Species Specificity;Phylogeny*;Mice"
n2-15,Humans;Female;Animals;Male;Mice;Middle Aged;Adult;Aged;Young Adult;Case-Control Studies
n2-16,Animals;Humans;Female;Male;Adult;Middle Aged;Mice;Young Adult;Adolescent;Phylogeny
n2-1295,"Animals;Humans;Mice;Male;Female;Adult;Mice, Knockout;Phenotype;Gene Expression Regulation;Mice, Inbred C57BL"
n2-843,Humans;Male;Animals;Female;Adult;Middle Aged;Young Adult;Algorithms;Rats;Adolescent
n2-1081,"Humans;Male;Female;Aged;Middle Aged;Animals;Adult;Aged, 80 and over;Mice;Young Adult"
n2-20,Humans;Male;Female;Adult;Middle Aged;Animals;Aged;Mice;Young Adult;Case-Control Studies
n2-440,"Animals;Humans;Mice;Female;Male;Cells, Cultured;Cell Line, Tumor;Signal Transduction;Mice, Inbred C57BL;Mice, Knockout"
n2-1286,"Animals;Female;Male;Humans;Adult;Middle Aged;Behavior, Animal*;Dogs;Behavior, Animal;Behavior, Animal / physiology*"
n2-1005,"Animals;Humans;Mice;Male;Female;Cell Line;Molecular Sequence Data;Disease Models, Animal;Protein Binding;Amino Acid Sequence"
n2-26,Humans;Female;Male;Animals;Adult;Middle Aged;Aged;Mice;Young Adult;Retrospective Studies
n2-241,Humans;Animals;Mice;Male;Amino Acid Sequence;Binding Sites;Protein Binding;Adult;Female;Rabbits
n2-106,Animals;Humans;Female;Male;Mice;Phylogeny;Mutation;Arabidopsis / genetics;Arabidopsis Proteins / genetics;Adult
n2-31,Humans;Male;Animals;Female;Mice;Middle Aged;Adult;Aged;Rats;Cell Line
n2-130,Humans;Female;Male;Adult;Middle Aged;Animals;Aged;Young Adult;Risk Factors;Mice
n2-730,"Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Cell Line, Tumor;Aged;Young Adult"
n2-553,Animals;Humans;Female;Mice;Male;Phylogeny;Biomass;Ecosystem;Biodiversity*;Biodiversity
n2-37,Animals;Humans;Male;Female;Mice;Phylogeny;Molecular Sequence Data;Base Sequence;Rats;Amino Acid Sequence
n2-901,"Humans;Animals;Mice;Male;Female;Cell Line, Tumor;Middle Aged;Aged;Signal Transduction;Protein Binding"
n2-39,"Humans;Female;Animals;Male;Mice;Middle Aged;Adult;Aged;Cell Line, Tumor;Mutation"
n2-727,"Humans;Male;Female;Animals;Middle Aged;Aged;Mice;Adult;Retrospective Studies;Aged, 80 and over"
n2-518,Humans;Female;Male;Animals;Adult;Middle Aged;Mice;Aged;Young Adult;Adolescent
n2-200,Humans;Female;Male;Adult;Middle Aged;Aged;Animals;Young Adult;Adolescent;Mice
n2-325,"Humans;Animals;Female;Mice;Male;Cell Line, Tumor;Middle Aged;Adult;Aged;Disease Models, Animal"
n2-1314,"Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Aged;Mice, Inbred C57BL;Cells, Cultured"
n2-1378,"Humans;Male;Female;Middle Aged;Aged;Adult;Animals;Mice;Risk Factors;Aged, 80 and over"
n2-46,"Humans;Animals;Female;Male;Middle Aged;Mice;Aged;Adult;Aged, 80 and over;Young Adult"
n2-47,Humans;Male;Female;Animals;Middle Aged;Adult;Aged;Mice;Young Adult;Mutation
n2-176,"Humans;Female;Male;Aged;Middle Aged;Animals;Adult;Mice;Aged, 80 and over;Prognosis"
n2-131,"Humans;Female;Male;Adult;Middle Aged;Animals;Adolescent;Young Adult;Child, Preschool;Infant"
n2-50,Humans;Male;Female;Adult;Middle Aged;Animals;Aged;Young Adult;Adolescent;Mice
n2-51,Humans;Animals;Male;Female;Adult;Middle Aged;Aged;Mice;Young Adult;Phylogeny
n2-68,Humans;Female;Male;Adult;Middle Aged;Young Adult;Animals;Adolescent;Aged;Child
n2-208,"Humans;Female;Animals;Male;Adult;Middle Aged;Adolescent;Young Adult;Child;Child, Preschool"
n2-1019,"Animals;Humans;Female;Male;Mice;Adult;Middle Aged;Amino Acid Sequence;Molecular Sequence Data;Mice, Inbred C57BL"
n2-55,Humans;Animals;Female;Male;Adult;Middle Aged;Mice;Young Adult;Adolescent;Child
n2-265,Animals;Humans;Female;Male;Adult;Mice;Middle Aged;Phylogeny;Time Factors;Molecular Sequence Data
n2-368,"Humans;Animals;Male;Female;Mice;Middle Aged;Adult;Aged;Rats;Disease Models, Animal"
n2-61,Humans;Female;Male;Adult;Middle Aged;Young Adult;Aged;Adolescent;Animals;Child
n2-63,Humans;Animals;Female;Male;Mice;Adult;Middle Aged;Adolescent;Young Adult;Child
n2-64,"Humans;Animals;Male;Female;Mice;Adult;Middle Aged;Aged;Mice, Inbred C57BL;Cell Line, Tumor"
n2-209,Humans;Male;Female;Animals;Adult;Middle Aged;Adolescent;Aged;Young Adult;Child
n2-456,Humans;Female;Male;Adult;Middle Aged;Young Adult;Aged;Adolescent;Pregnancy;Animals
n2-371,"Animals;Female;Male;Phylogeny;Humans;Molecular Sequence Data;Amino Acid Sequence;Base Sequence;Insect Proteins / genetics;Sequence Analysis, DNA"
n2-739,"Animals;Humans;Female;Male;Mice;Cells, Cultured;Adult;Middle Aged;Pregnancy;Mice, Inbred C57BL"
n2-78,Humans;Female;Male;Middle Aged;Animals;Adult;Aged;Adolescent;Risk Factors;Young Adult
n2-80,"Animals;Humans;Female;Male;Mice;Adult;Middle Aged;Amino Acid Sequence;Cell Line, Tumor;Mice, Inbred C57BL"
n2-250,"Animals;Humans;Male;Mice;Female;Middle Aged;Adult;Rats;Aged;Mice, Transgenic"
n2-1157,Animals;Ecosystem*;Ecosystem;Humans;Female;Male;Geography;Biodiversity;Population Dynamics;Coral Reefs*
n2-1206,Humans;Male;Female;Adult;Middle Aged;Young Adult;Aged;Adolescent;Animals;Case-Control Studies
n2-284,"Animals;Female;Humans;Male;Cattle;Mice;Phenotype;Polymorphism, Single Nucleotide;Genotype;Adult"
n2-85,Animals;Humans;Female;Male;Adult;Middle Aged;Aged;Ecosystem*;Australia;Young Adult
n2-253,"Animals;Female;Humans;Male;Mice;Dogs;Phenotype;Polymorphism, Single Nucleotide;Genotype;Genome-Wide Association Study"
n2-87,Animals;Female;Humans;Pregnancy;Genotype;Adult;Male;Swine;Young Adult;Gene Expression Profiling
